,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
98,,,,,,2.2,2.1,2.2,1.9,1.5,1.3,1.5,1.5,1.8,1.8,1.6,1.6,1.6
99,8.2,7.7,7.2,7.5,6.9,7.5,7.5,7.4,7.4,7.5,7.7,8.0,8.0,7.54,6.9,7.2,7.4,7.5
100,7.1,6.8,6.6,7.6,7.3,7.0,6.4,6.3,5.9,6.1,6.0,6.1,6.1,5.81,6.0,6.1,6.0,6.1
101,4.6,4.7,4.6,5.5,5.2,5.3,4.8,5.0,4.9,5.2,4.8,4.3,3.9,3.91,4.2,4.3,4.3,4.4
102,3.1,2.6,,,,,,,,,,,,,,,,
103,3.8,3.8,,,4.0,3.8,3.3,3.6,3.7,3.3,3.1,3.0,3.3,3.34,3.8,3.8,3.8,4.1
104,5.8,6.0,6.4,7.1,7.1,7.0,6.9,7.3,7.6,7.5,7.3,7.7,7.8,8.04,7.4,7.4,7.6,7.5
105,4.7,4.4,4.6,4.9,4.5,4.6,5.3,5.7,5.3,4.7,5.1,5.0,4.7,4.49,4.8,4.5,4.9,5.3
106,,2.3,3.0,2.7,2.3,2.4,2.2,2.6,2.6,2.1,2.2,2.7,2.9,2.69,2.8,2.6,2.9,2.8
107,2.5,2.0,2.1,2.0,1.9,1.9,2.1,2.1,2.2,2.1,2.1,2.2,2.1,2.24,2.7,2.7,2.5,2.5
108,,,,,,,,,,3.3,3.1,2.8,3.2,3.08,,,,
109,,,,,,,,,,,,,,1.01,0.8,0.8,0.8,0.8
110,,,,,,,,,,,,5.5,5.4,5.36,5.6,5.5,5.5,5.6
111,,,,,,,,,,,,,2.8,2.85,3.4,3.3,3.3,3.3
112,,,,,,5.3,4.6,4.7,4.8,,4.3,4.1,4.5,4.62,4.4,4.3,4.4,4.9
113,,,,,,,,,,4.3,,,,,,,,
114,,2.2,,,,,,,,,,,,,,,,
115,,,,,,2.1,2.2,2.3,2.2,2.1,1.8,1.9,2.0,2.12,2.4,2.4,2.7,2.8
116,,,,,,,,3.3,2.6,1.9,2.0,2.0,2.1,2.21,2.1,2.6,2.5,2.5
117,2.7,3.4,3.4,3.4,3.7,3.8,4.0,4.2,4.7,4.8,5.0,4.5,4.3,4.19,4.9,5.3,5.5,5.5
118,,,,,,3.0,2.7,3.1,3.6,3.0,3.0,2.5,2.5,2.49,3.0,2.8,2.7,2.8
119,,,,,,,,3.4,3.2,3.3,3.2,3.3,3.5,3.52,4.5,4.9,4.9,4.4
120,,,,,,,,2.2,,2.1,2.4,3.1,3.3,3.19,4.1,3.8,3.7,3.7
121,,,,,,2.1,2.5,2.5,2.7,2.5,2.6,2.5,2.2,2.01,2.1,1.5,1.8,1.6
122,,3.8,4.1,4.8,4.8,4.7,4.6,4.8,4.8,4.8,4.6,4.9,5.0,4.75,5.4,5.7,5.8,6.1
123,8.7,8.8,8.6,8.7,9.0,8.7,8.4,8.5,8.6,8.4,8.3,8.2,8.5,8.51,8.0,8.0,8.2,8.1
124,,,,,,,,,6.6,5.7,5.4,5.3,5.0,5.11,,,,
125,,3.3,,,,2.3,2.7,2.7,2.7,,,,,,4.3,4.4,,
126,,,,,,,,,,,3.6,,,,,,,
127,,,,,1.7,2.6,3.1,2.8,3.1,3.2,3.4,3.0,2.6,3.04,3.2,2.8,2.8,2.8
128,4.1,4.1,4.1,3.2,2.9,2.8,2.8,2.8,2.7,2.7,2.8,3.3,3.4,3.0,3.7,3.7,3.3,3.1
129,5.3,5.1,4.8,5.0,4.9,5.2,5.0,5.1,5.0,5.1,5.1,4.5,4.4,4.31,4.9,5.0,5.2,5.0
130,,,,,,,,,,3.3,2.8,2.5,2.3,2.47,,,,
131,,,,,,3.0,3.2,2.9,2.8,2.7,3.1,2.8,2.7,2.76,3.4,2.8,3.2,3.5
132,,,,,,,6.8,6.6,6.4,5.8,5.8,5.2,5.6,5.59,5.7,5.6,5.5,5.6
133,,,,,,,,,3.1,2.6,2.8,2.5,2.3,2.43,3.1,3.0,3.0,3.1
134,5.0,4.9,4.7,4.5,4.5,4.4,4.1,4.2,5.1,4.7,5.5,5.4,5.4,5.07,5.7,5.2,5.4,5.3
135,3.3,3.4,3.3,3.7,3.6,3.6,3.6,3.5,3.3,3.5,3.6,3.3,3.1,2.97,3.4,3.4,3.5,3.5
136,,2.6,2.6,3.1,2.1,2.4,2.3,2.9,3.2,,2.9,3.3,2.9,2.88,3.6,3.5,3.5,3.3
137,,,,,,,,,,2.8,,,,,,,,
138,,4.3,,,,,3.0,3.0,2.8,3.0,3.0,2.7,2.7,2.68,3.6,3.8,3.9,3.9
139,,,,,,,,,,3.3,3.4,3.9,3.7,3.97,4.1,4.4,4.2,4.4
140,3.7,4.1,4.7,,3.7,3.3,3.2,3.2,3.2,3.5,3.5,3.3,3.4,3.44,3.7,3.7,3.9,3.6
141,,3.5,2.2,,,2.7,2.8,2.8,2.8,2.8,2.6,2.5,2.7,2.69,3.1,3.0,3.1,3.1
142,,,,,,1.6,1.7,1.8,1.9,1.4,1.3,1.4,1.4,1.49,1.5,2.1,2.1,2.2
143,5.3,5.3,5.4,5.4,5.7,4.7,4.1,4.3,4.1,4.5,4.5,4.5,4.4,4.43,4.8,4.8,4.9,5.3
144,,,,,,,2.8,2.5,2.5,2.5,2.7,2.3,2.2,2.21,2.7,3.1,2.9,2.7
145,9.0,9.0,8.9,8.8,9.0,8.9,8.7,8.6,8.7,9.0,8.9,8.9,8.8,8.89,8.4,8.3,8.3,8.7
146,9.4,9.4,9.4,9.4,9.5,9.5,9.6,9.6,9.6,9.4,9.3,9.4,9.3,9.46,9.0,9.1,9.1,8.8
147,3.0,3.1,,2.4,2.5,2.6,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.53,2.9,2.8,2.8,2.7
148,,,,,,,2.2,2.4,2.3,2.6,2.8,2.9,2.6,2.54,3.3,3.4,3.5,3.4
149,1.9,1.6,1.2,1.0,1.6,1.4,1.6,1.9,2.2,2.2,2.7,2.5,2.4,2.45,2.7,2.5,2.7,2.6
150,9.0,8.9,9.1,8.6,8.5,8.8,8.9,8.9,8.8,8.7,7.9,8.6,8.6,8.99,8.5,8.6,8.6,8.7
151,,,,,,6.3,6.1,6.3,5.4,4.7,5.5,5.5,5.3,4.83,4.7,4.7,4.5,4.5
152,2.7,2.2,,2.3,2.6,2.5,2.1,2.1,2.2,2.4,2.5,2.4,2.3,2.47,2.7,2.8,2.9,3.0
153,,,,,,3.0,,2.6,,,,,,,,,,
154,,,,,,,2.5,,,,,,,,,,,
155,,,,3.7,3.0,3.4,3.7,3.5,3.1,3.2,3.4,3.4,3.6,3.27,3.8,3.5,3.7,3.9
156,,,,,,2.1,2.6,2.3,2.4,2.0,2.0,2.1,2.1,2.17,2.5,2.5,2.5,2.5
157,1.5,2.0,,,1.7,1.6,1.9,2.1,2.6,2.4,2.4,2.1,2.2,2.22,2.5,2.4,2.4,2.7
158,4.5,4.5,4.4,4.1,4.0,3.7,3.5,3.5,3.3,3.5,3.6,3.7,3.5,3.39,3.8,3.8,3.8,3.6
